iter	Passed	Remaining
471	2045	2288
472	2048	2282
473	2052	2277
474	2055	2271
475	2059	2266
476	2062	2261
477	2066	2256
478	2069	2251
479	2073	2246
480	2078	2242
481	2081	2237
482	2085	2232
483	2089	2227
484	2093	2222
485	2097	2217
486	2100	2212
487	2104	2207
488	2108	2203
489	2112	2198
490	2116	2193
491	2119	2188
492	2123	2183
493	2127	2179
494	2131	2174
495	2134	2169
496	2138	2164
497	2142	2159
498	2146	2155
499	2150	2150
500	2153	2144
501	2157	2140
502	2160	2134
503	2164	2129
504	2167	2124
505	2171	2119
506	2175	2115
507	2179	2110
508	2182	2105
509	2186	2100
510	2190	2095
511	2193	2091
512	2197	2086
513	2201	2081
514	2205	2077
515	2210	2073
516	2214	2068
517	2217	2063
518	2221	2058
519	2225	2054
520	2229	2049
521	2233	2044
522	2236	2039
523	2240	2035
524	2244	2031
525	2248	2026
526	2252	2021
527	2256	2016
528	2259	2011
529	2263	2007
530	2266	2002
531	2270	1997
532	2274	1992
533	2278	1988
534	2282	1983
535	2286	1978
536	2291	1975
537	2295	1971
538	2301	1968
539	2305	1963
540	2308	1959
541	2313	1954
542	2319	1952
543	2328	1952
544	2332	1947
545	2336	1943
546	2341	1938
547	2345	1934
548	2348	1929
549	2352	1924
550	2356	1920
551	2359	1915
552	2363	1910
553	2367	1905
554	2371	1901
555	2374	1896
556	2378	1891
557	2382	1887
558	2386	1882
559	2389	1877
560	2393	1872
561	2396	1867
562	2400	1863
563	2403	1858
564	2407	1853
565	2410	1848
566	2415	1844
567	2419	1839
568	2422	1835
569	2426	1830
570	2431	1826
571	2435	1822
572	2438	1817
573	2442	1812
574	2446	1808
575	2450	1804
576	2454	1799
577	2458	1794
578	2461	1790
579	2465	1785
580	2469	1781
581	2473	1776
582	2478	1772
583	2484	1769
584	2487	1764
585	2491	1760
586	2496	1756
587	2502	1753
588	2505	1748
589	2509	1744
590	2513	1739
591	2517	1734
592	2520	1730
593	2524	1725
594	2528	1721
595	2532	1716
596	2536	1711
597	2539	1707
598	2544	1703
599	2548	1698
600	2552	1694
601	2556	1690
602	2560	1685
603	2564	1681
604	2568	1676
605	2572	1672
606	2576	1668
607	2580	1663
608	2584	1659
609	2587	1654
610	2590	1649
611	2595	1645
612	2598	1640
613	2602	1636
614	2605	1631
615	2610	1627
616	2615	1623
617	2619	1619
618	2624	1615
619	2628	1611
620	2632	1606
621	2636	1601
622	2639	1597
623	2643	1592
624	2647	1588
625	2651	1583
626	2655	1579
627	2658	1575
628	2662	1570
629	2666	1565
630	2670	1561
631	2674	1557
632	2677	1552
633	2681	1547
634	2684	1543
635	2688	1538
636	2691	1534
637	2695	1529
638	2698	1524
639	2702	1520
640	2706	1515
641	2709	1511
642	2713	1506
643	2716	1501
644	2720	1497
645	2723	1492
646	2727	1488
647	2731	1483
648	2734	1478
649	2738	1474
650	2741	1469
651	2745	1465
652	2748	1460
653	2752	1456
654	2756	1451
655	2760	1447
656	2763	1442
657	2767	1438
658	2771	1434
659	2775	1429
660	2778	1425
661	2782	1420
662	2786	1416
663	2790	1411
664	2794	1407
665	2799	1403
666	2804	1399
667	2808	1395
668	2812	1391
669	2817	1387
670	2821	1383
671	2825	1379
672	2829	1374
673	2833	1370
674	2837	1366
675	2841	1361
676	2845	1357
677	2851	1354
678	2855	1350
679	2859	1345
680	2862	1341
681	2867	1337
682	2871	1332
683	2875	1328
684	2879	1324
685	2884	1320
686	2888	1315
687	2891	1311
688	2895	1307
689	2900	1302
690	2904	1298
691	2907	1294
692	2911	1289
693	2915	1285
694	2918	1280
695	2923	1276
696	2927	1272
697	2931	1268
698	2935	1264
699	2939	1259
700	2943	1255
701	2947	1251
702	2951	1246
703	2955	1242
704	2959	1238
705	2964	1234
706	2968	1230
707	2971	1225
708	2975	1221
709	2979	1217
710	2983	1212
711	2986	1208
712	2990	1203
713	2993	1199
714	2998	1195
715	3001	1190
716	3005	1186
717	3009	1182
718	3013	1177
719	3016	1173
720	3020	1168
721	3023	1164
722	3027	1160
723	3031	1155
724	3035	1151
725	3038	1146
726	3043	1142
727	3046	1138
728	3050	1134
729	3054	1129
730	3057	1125
731	3061	1120
732	3065	1116
733	3068	1112
734	3072	1107
735	3076	1103
736	3080	1099
737	3083	1094
738	3087	1090
739	3091	1086
740	3094	1081
741	3098	1077
742	3101	1072
743	3105	1068
744	3109	1064
745	3112	1059
746	3115	1055
747	3120	1051
748	3124	1046
749	3127	1042
750	3131	1038
751	3135	1034
752	3139	1029
753	3143	1025
754	3146	1021
755	3150	1016
756	3153	1012
757	3158	1008
758	3162	1004
759	3165	999
760	3169	995
761	3173	991
762	3177	986
763	3180	982
764	3184	978
765	3188	974
766	3192	969
767	3195	965
768	3199	961
769	3202	956
770	3206	952
771	3210	948
772	3213	943
773	3217	939
774	3221	935
775	3224	930
776	3228	926
777	3231	922
778	3235	917
779	3239	913
780	3243	909
781	3247	905
782	3250	900
783	3254	896
784	3259	892
785	3262	888
786	3266	883
787	3270	879
788	3273	875
789	3277	871
790	3281	866
791	3285	862
792	3289	858
793	3293	854
794	3296	850
795	3300	845
796	3304	841
797	3308	837
798	3312	833
799	3316	829
800	3320	824
801	3324	820
802	3328	816
803	3331	812
804	3337	808
805	3341	804
806	3345	800
807	3349	795
808	3354	791
809	3358	787
810	3361	783
811	3364	779
812	3368	774
813	3372	770
814	3375	766
815	3378	761
816	3382	757
817	3386	753
818	3390	749
819	3393	744
820	3397	740
821	3401	736
822	3405	732
823	3408	728
824	3412	723
825	3418	720
826	3422	715
827	3426	711
828	3429	707
829	3434	703
830	3438	699
831	3442	695
832	3446	691
833	3451	686
834	3455	682
835	3459	678
836	3463	674
837	3468	670
838	3471	666
839	3475	661
840	3480	658
841	3484	653
842	3488	649
843	3492	645
844	3496	641
845	3500	637
846	3504	632
847	3508	628
848	3511	624
849	3515	620
850	3518	616
851	3522	611
852	3526	607
853	3530	603
854	3534	599
855	3537	595
856	3541	590
857	3545	586
858	3548	582
859	3553	578
860	3556	574
861	3561	570
862	3565	565
863	3569	561
864	3572	557
865	3577	553
866	3580	549
867	3584	545
868	3588	540
869	3592	536
870	3596	532
871	3600	528
872	3603	524
873	3607	520
874	3611	515
875	3615	511
876	3618	507
877	3622	503
878	3626	499
879	3631	495
880	3643	492
881	3653	488
882	3679	487
883	3689	484
884	3701	480
885	3714	477
886	3724	474
887	3735	471
888	3745	467
889	3757	464
890	3768	461
891	3780	457
892	3792	454
893	3804	451
894	3816	447
895	3829	444
896	3841	441
897	3860	438
898	3874	435
899	3885	431
900	3896	428
901	3907	424
902	3918	420
903	3935	417
904	3945	414
905	3953	410
906	3968	406
907	3978	403
908	3985	398
909	3994	395
910	4005	391
911	4019	387
912	4029	384
913	4041	380
914	4052	376
915	4064	372
916	4071	368
917	4078	364
918	4086	360
919	4095	356
920	4103	351
921	4111	347
922	4121	343
923	4131	339
924	4140	335
925	4147	331
926	4156	327
927	4164	323
928	4173	318
929	4182	314
930	4189	310
931	4197	306
932	4205	302
933	4213	297
934	4222	293
935	4231	289
936	4241	285
937	4259	281
938	4269	277
939	4276	272
940	4284	268
941	4293	264
942	4302	260
943	4312	255
944	4323	251
945	4333	247
946	4342	243
947	4350	238
948	4359	234
949	4370	230
950	4378	225
951	4389	221
952	4397	216
953	4406	212
954	4415	208
955	4425	203
956	4436	199
957	4446	194
958	4456	190
959	4464	186
960	4472	181
961	4481	177
962	4490	172
963	4500	168
964	4508	163
965	4518	159
966	4527	154
967	4535	149
968	4543	145
969	4554	140
970	4564	136
971	4573	131
972	4584	127
973	4593	122
974	4602	118
975	4612	113
976	4621	108
977	4631	104
978	4640	99
979	4649	94
980	4659	90
981	4667	85
982	4678	80
983	4686	76
984	4696	71
985	4703	66
986	4712	62
987	4721	57
988	4730	52
989	4739	47
990	4748	43
991	4758	38
992	4767	33
993	4777	28
994	4786	24
995	4795	19
996	4805	14
997	4813	9
998	4822	4
999	4830	0
